# task=cylinder
# algo=PPO
# checkpoint=/home/tan/hora/BrainCo/outputs/revo3_right/run_cylinder_v2_continue/stage1_nn/last.pth
# policy_dt_sec=0.050000
# policy_hz=20.000000
# action_semantics=delta
# action_formula=target=prev_target+(1/24)*raw_action then clamp(joint_limits)
# raw_action_definition=policy clamped delta output mu (pre delta-integration, [-1,1])
# target_definition=cur_targets (delta-accumulated + joint-limit clamped, used in PD formula)
# jointpos_definition=hand.data.joint_pos (absolute joint angles, rad)
# joint_order=0:right_index_MPR_joint, 1:right_little_MPR_joint, 2:right_middle_MPR_joint, 3:right_ring_MPR_joint, 4:right_thumb_CMP_joint, 5:right_index_MCP_joint, 6:right_little_MCP_joint, 7:right_middle_MCP_joint, 8:right_ring_MCP_joint, 9:right_thumb_CMR_joint, 10:right_index_PIP_joint, 11:right_little_PIP_joint, 12:right_middle_PIP_joint, 13:right_ring_PIP_joint, 14:right_thumb_MCP_joint, 15:right_index_DIP_joint, 16:right_little_DIP_joint, 17:right_middle_DIP_joint, 18:right_ring_DIP_joint, 19:right_thumb_PIP_joint, 20:right_thumb_DIP_joint

frame=046 t= 2.300s reward=+0.905718 done=0 raw_action=[+0.518732, -0.024047, +1.000000, -0.490455, +0.976357, -0.054412, +1.000000, +0.276759, +0.612731, +0.627125, +0.127836, +0.459269, -0.511619, +0.375629, +0.214018, +0.650221, -0.564795, -0.374096, +0.121440, -0.637159, -0.126534]
frame=047 t= 2.350s reward=+1.127060 done=0 raw_action=[-0.051513, +0.457053, +1.000000, -0.372810, +1.000000, +0.369960, +1.000000, +0.108326, +0.481742, -0.374698, +0.505783, -0.146046, -0.182591, +0.105782, +0.372678, +0.566763, -0.709616, +0.675002, -0.118873, -0.350338, -0.343157]
frame=048 t= 2.400s reward=+0.403627 done=0 raw_action=[-0.055735, +0.754637, -0.297640, -0.916441, +1.000000, -0.066428, +1.000000, +0.076721, +0.563849, -0.612856, +0.240070, -0.620469, -0.477582, +0.310860, +0.161176, +0.431824, -0.292640, -0.565836, +0.249755, +0.105837, +0.148959]
frame=049 t= 2.450s reward=+1.134645 done=0 raw_action=[-0.298326, +1.000000, -1.000000, -1.000000, +1.000000, -0.502425, +1.000000, +0.310903, +0.295562, -1.000000, +0.126083, -0.514620, -0.297940, +0.342370, +0.415273, +0.198127, -0.072476, -0.245766, +0.249601, -0.181458, +0.159540]
frame=050 t= 2.500s reward=+0.773258 done=0 raw_action=[+0.395224, +0.770586, -0.112797, -0.901497, +1.000000, +0.166898, -0.353969, +0.580850, -0.385589, -1.000000, +1.000000, -0.352049, -0.052846, -0.093492, +0.844656, +0.392328, -0.397536, +0.115049, -0.083062, +0.142196, +0.630166]
frame=051 t= 2.550s reward=+1.142761 done=0 raw_action=[-0.220631, +0.895189, -0.328498, -1.000000, +1.000000, -1.000000, +0.156373, +0.488642, +0.237666, -1.000000, +0.761775, -0.743300, +0.297741, -0.530636, +0.661895, -0.047265, -0.056163, -0.700795, -0.261109, -0.477835, +0.094024]
frame=052 t= 2.600s reward=+1.087737 done=0 raw_action=[+0.701657, +0.687713, +0.702216, -0.478706, +1.000000, -0.844851, +0.220363, -0.009144, -0.043178, -1.000000, +1.000000, -0.832102, +0.219146, -0.788470, +0.723109, -0.356529, +0.125104, +0.000973, -0.190127, +0.288936, +0.179861]
frame=053 t= 2.650s reward=+1.106531 done=0 raw_action=[+1.000000, -0.207388, +1.000000, +0.725850, +1.000000, +0.668337, +0.274517, -0.566523, +0.254218, -1.000000, +1.000000, -1.000000, +0.084118, -0.706581, -0.480471, +0.072078, -0.789313, +0.710231, +0.096411, +0.518667, +0.032832]
frame=054 t= 2.700s reward=+1.064818 done=0 raw_action=[+0.601604, -1.000000, +1.000000, +1.000000, +1.000000, +0.404223, +0.424320, +0.296985, +0.271448, -1.000000, +0.267705, -0.567362, +0.717538, -0.529231, -0.155457, +0.051556, -0.262583, +0.245802, +0.110148, +0.548328, -0.027311]
frame=055 t= 2.750s reward=+1.052096 done=0 raw_action=[+0.758352, -1.000000, +1.000000, +0.861093, +0.935544, +1.000000, -1.000000, +0.702485, +1.000000, -0.948132, -0.397891, +0.772861, +0.364091, -0.554476, +0.236131, +0.022352, +0.194501, +0.636436, -0.035331, -0.117500, -0.347588]
