# task=cylinder
# algo=ProprioAdapt
# checkpoint=/home/tan/hora/BrainCo/outputs/revo3_right/stage2_smoke2/stage2_nn/model_best_latent.ckpt
# policy_dt_sec=0.050000
# policy_hz=20.000000
# action_semantics=delta
# action_formula=target=prev_target+(1/24)*raw_action then clamp(joint_limits)
# raw_action_definition=policy clamped delta output mu (pre delta-integration, [-1,1])
# target_definition=cur_targets (delta-accumulated + joint-limit clamped, used in PD formula)
# jointpos_definition=hand.data.joint_pos (absolute joint angles, rad)
# joint_order=0:right_index_MPR_joint, 1:right_little_MPR_joint, 2:right_middle_MPR_joint, 3:right_ring_MPR_joint, 4:right_thumb_CMP_joint, 5:right_index_MCP_joint, 6:right_little_MCP_joint, 7:right_middle_MCP_joint, 8:right_ring_MCP_joint, 9:right_thumb_CMR_joint, 10:right_index_PIP_joint, 11:right_little_PIP_joint, 12:right_middle_PIP_joint, 13:right_ring_PIP_joint, 14:right_thumb_MCP_joint, 15:right_index_DIP_joint, 16:right_little_DIP_joint, 17:right_middle_DIP_joint, 18:right_ring_DIP_joint, 19:right_thumb_PIP_joint, 20:right_thumb_DIP_joint

frame=053 t= 2.650s reward=+0.997894 done=0 jointpos=[+0.261800, -0.145048, +0.104338, -0.228261, +1.724684, +1.133520, +1.118564, +0.959552, +0.899826, +0.892613, +0.440582, +0.547390, +0.177870, +0.312060, +0.372372, +0.101691, +0.002017, +0.131650, +0.192819, +0.302046, +0.189839]
frame=054 t= 2.700s reward=+1.037760 done=0 jointpos=[+0.261800, -0.147659, +0.149586, -0.199076, +1.724683, +1.145181, +1.137987, +0.957415, +0.902115, +0.892608, +0.418971, +0.538171, +0.207466, +0.297638, +0.367296, +0.101288, +0.001908, +0.127678, +0.178100, +0.301273, +0.198588]
frame=055 t= 2.750s reward=+0.570749 done=0 jointpos=[+0.261800, -0.154379, +0.200787, -0.169444, +1.724683, +1.164693, +1.168859, +0.962637, +0.906149, +0.892585, +0.376236, +0.557897, +0.226604, +0.276842, +0.363746, +0.098491, +0.019243, +0.129233, +0.162449, +0.297926, +0.204872]
frame=056 t= 2.800s reward=+1.022945 done=0 jointpos=[+0.261800, -0.170568, +0.230254, -0.156220, +1.724681, +1.180300, +1.192987, +0.975399, +0.912641, +0.892572, +0.349690, +0.612047, +0.220420, +0.262495, +0.364266, +0.104820, +0.051139, +0.120012, +0.159105, +0.292646, +0.199090]
frame=057 t= 2.850s reward=+0.541998 done=0 jointpos=[+0.261800, -0.186716, +0.232132, -0.157167, +1.724648, +1.195814, +1.200246, +0.987753, +0.917616, +0.892585, +0.320925, +0.658294, +0.206863, +0.262432, +0.365234, +0.107503, +0.070339, +0.105139, +0.153808, +0.284382, +0.192630]
frame=058 t= 2.900s reward=+1.005612 done=0 jointpos=[+0.261800, -0.204030, +0.224644, -0.163219, +1.724658, +1.215196, +1.168489, +0.996728, +0.928764, +0.892568, +0.297306, +0.647353, +0.217236, +0.272502, +0.356029, +0.113610, +0.048758, +0.078382, +0.127897, +0.272186, +0.197757]
frame=059 t= 2.950s reward=+1.004505 done=0 jointpos=[+0.261800, -0.222021, +0.208642, -0.182589, +1.724652, +1.231065, +1.098212, +0.991165, +0.940142, +0.892583, +0.288257, +0.591290, +0.250673, +0.276518, +0.337765, +0.111732, +0.038150, +0.060055, +0.126435, +0.269837, +0.228550]
frame=060 t= 3.000s reward=+0.900624 done=0 jointpos=[+0.260569, -0.224534, +0.174620, -0.217769, +1.725769, +1.258994, +1.020545, +0.958408, +0.943468, +0.893136, +0.299331, +0.548423, +0.297257, +0.263359, +0.328557, +0.077998, +0.031087, +0.060107, +0.103914, +0.287380, +0.258085]
frame=061 t= 3.050s reward=+0.993509 done=0 jointpos=[+0.252738, -0.212409, +0.127840, -0.241922, +1.729523, +1.324482, +0.966218, +0.912016, +0.937154, +0.894903, +0.326749, +0.547859, +0.354664, +0.252249, +0.322436, +0.040343, +0.031087, +0.089832, +0.067489, +0.317659, +0.258467]
frame=062 t= 3.100s reward=+1.020580 done=0 jointpos=[+0.232744, -0.195399, +0.081318, -0.244025, +1.732804, +1.369762, +0.947898, +0.882094, +0.925293, +0.900078, +0.327193, +0.574620, +0.383433, +0.246555, +0.300866, +0.000000, +0.066438, +0.102417, +0.063673, +0.369024, +0.253424]
frame=063 t= 3.150s reward=+1.015288 done=0 jointpos=[+0.238018, -0.189040, +0.042264, -0.243743, +1.732750, +1.343985, +0.951551, +0.876019, +0.908685, +0.932618, +0.291642, +0.590564, +0.354648, +0.257905, +0.270915, +0.000121, +0.106936, +0.139613, +0.097481, +0.415421, +0.252691]
frame=064 t= 3.200s reward=-1.436380 done=0 jointpos=[+0.261786, -0.189050, +0.019221, -0.219558, +1.734164, +1.328729, +0.977561, +0.886739, +0.894532, +0.990565, +0.265079, +0.592204, +0.323166, +0.282149, +0.257402, +0.000176, +0.089416, +0.142986, +0.138677, +0.410954, +0.246409]
frame=065 t= 3.250s reward=+0.983162 done=0 jointpos=[+0.261800, -0.195887, +0.032611, -0.200545, +1.733722, +1.328513, +1.007546, +0.903531, +0.883068, +1.013371, +0.267480, +0.597219, +0.313935, +0.300703, +0.254617, +0.015460, +0.049862, +0.135555, +0.174986, +0.389422, +0.243231]
frame=066 t= 3.300s reward=+0.766780 done=0 jointpos=[+0.261800, -0.201769, +0.081782, -0.210340, +1.733139, +1.314772, +1.021553, +0.916540, +0.878374, +1.038529, +0.279376, +0.609125, +0.304664, +0.324593, +0.263661, +0.043794, +0.018009, +0.143583, +0.201363, +0.371289, +0.214590]
frame=067 t= 3.350s reward=+0.987260 done=0 jointpos=[+0.261800, -0.206524, +0.133673, -0.236600, +1.731287, +1.295380, +1.034616, +0.937275, +0.870746, +1.064195, +0.287854, +0.619417, +0.283234, +0.351148, +0.269046, +0.057578, +0.026947, +0.152910, +0.213056, +0.363087, +0.182275]
frame=068 t= 3.400s reward=-0.211222 done=0 jointpos=[+0.261800, -0.208085, +0.141990, -0.245824, +1.726876, +1.287982, +1.047049, +0.955608, +0.872864, +1.061503, +0.290656, +0.614437, +0.257627, +0.363142, +0.279583, +0.069487, +0.021596, +0.143270, +0.202974, +0.340053, +0.178549]
frame=069 t= 3.450s reward=+1.090125 done=0 jointpos=[+0.261800, -0.209961, +0.126602, -0.246277, +1.724144, +1.275551, +1.063103, +0.965072, +0.874162, +1.044229, +0.299284, +0.613027, +0.237163, +0.367351, +0.284516, +0.084335, +0.018835, +0.143103, +0.213026, +0.322305, +0.194886]
