# task=cylinder
# algo=ProprioAdapt
# checkpoint=/home/tan/hora/BrainCo/outputs/revo3_right/stage2_smoke2/stage2_nn/model_best_latent.ckpt
# policy_dt_sec=0.050000
# policy_hz=20.000000
# action_semantics=delta
# action_formula=target=prev_target+(1/24)*raw_action then clamp(joint_limits)
# raw_action_definition=policy clamped delta output mu (pre delta-integration, [-1,1])
# target_definition=cur_targets (delta-accumulated + joint-limit clamped, used in PD formula)
# jointpos_definition=hand.data.joint_pos (absolute joint angles, rad)
# joint_order=0:right_index_MPR_joint, 1:right_little_MPR_joint, 2:right_middle_MPR_joint, 3:right_ring_MPR_joint, 4:right_thumb_CMP_joint, 5:right_index_MCP_joint, 6:right_little_MCP_joint, 7:right_middle_MCP_joint, 8:right_ring_MCP_joint, 9:right_thumb_CMR_joint, 10:right_index_PIP_joint, 11:right_little_PIP_joint, 12:right_middle_PIP_joint, 13:right_ring_PIP_joint, 14:right_thumb_MCP_joint, 15:right_index_DIP_joint, 16:right_little_DIP_joint, 17:right_middle_DIP_joint, 18:right_ring_DIP_joint, 19:right_thumb_PIP_joint, 20:right_thumb_DIP_joint

frame=053 t= 2.650s reward=+0.997894 done=0 raw_action=[+0.511387, -0.405549, +1.000000, +0.556644, +1.000000, +0.208734, +0.243715, -0.083593, +0.670956, -1.000000, +0.770479, -0.666501, +0.431959, -0.259706, -0.147326, -0.026009, -0.490189, +0.199681, +0.282150, +0.035784, -0.070411]
frame=054 t= 2.700s reward=+1.037760 done=0 raw_action=[+0.096537, -1.000000, +1.000000, +0.868071, +1.000000, +0.507379, -0.197788, +0.385402, +0.533417, -0.613212, -0.504379, +0.137585, +0.789583, -0.415241, -0.064965, -0.010083, -0.099422, -0.106059, -0.313825, +0.022662, +0.213873]
frame=055 t= 2.750s reward=+0.570749 done=0 raw_action=[+0.101560, -1.000000, +1.000000, +0.620702, +0.971689, +0.867716, -1.000000, +0.819374, +0.787536, -0.428307, -0.903675, +0.918165, +0.566218, -0.471998, +0.241287, -0.087973, +0.451909, +0.047206, -0.370655, +0.117940, +0.164711]
frame=056 t= 2.800s reward=+1.022945 done=0 raw_action=[-0.090292, -1.000000, +0.962896, +0.308364, +1.000000, +0.216469, -1.000000, +0.973968, +0.767698, -0.374675, -1.000000, +0.809033, +0.257364, -0.148414, +0.250674, +0.137001, +0.754324, -0.223988, -0.094248, +0.049012, -0.125464]
frame=057 t= 2.850s reward=+0.541998 done=0 raw_action=[-0.099902, -0.582917, -0.253132, -0.140166, +1.000000, +0.053802, -1.000000, +0.373545, -0.085848, -0.076244, -0.807469, -0.120584, +0.272333, +0.085394, +0.039281, +0.067224, +0.467309, -0.356772, -0.116318, -0.207924, -0.151228]
frame=058 t= 2.900s reward=+1.005612 done=0 raw_action=[+0.003490, -0.506720, -0.825363, -0.148019, +1.000000, +0.252923, -1.000000, +0.232942, -0.501514, +0.441409, -0.369239, -0.742844, +0.598223, +0.119948, -0.430790, +0.153604, -0.492426, -0.649003, -0.607778, -0.415391, +0.113537]
frame=059 t= 2.950s reward=+1.004505 done=0 raw_action=[-0.189716, -0.413322, -1.000000, -0.712402, +1.000000, +0.470541, -1.000000, -0.138006, -0.704432, +0.984728, -0.115493, -0.797188, +0.700759, -0.107555, -0.204962, -0.040230, -0.261799, -0.438421, -0.074889, +0.087471, +0.749476]
frame=060 t= 3.000s reward=+0.900624 done=0 raw_action=[+0.024555, +0.219595, -1.000000, -1.000000, +1.000000, +0.377497, -1.000000, -0.851876, -1.000000, +1.000000, +0.006504, -0.130830, +0.822891, -0.500540, -0.287475, -0.802609, -0.169981, +0.006369, -0.507255, +0.364641, +0.690993]
frame=061 t= 3.050s reward=+0.993509 done=0 raw_action=[-0.104694, +0.402977, -1.000000, -0.751892, +1.000000, +0.407448, -1.000000, -0.843840, -0.729664, +1.000000, +0.125040, +0.031264, +1.000000, -0.244088, -0.862263, -0.903661, -0.036000, +0.716932, -0.865286, +0.293714, -0.018693]
frame=062 t= 3.100s reward=+1.020580 done=0 raw_action=[-0.008584, +0.389300, -1.000000, -0.833825, +1.000000, +0.294816, -0.637932, -1.000000, -0.360471, +1.000000, -0.456603, +0.346364, +0.087637, -0.144885, -1.000000, -1.000000, +0.860239, +0.353785, -0.137986, +1.000000, -0.142242]
